CardNo,MaxDay,TotalCount,Money
165890,8,5,31.5
165891,7,26,147.9
165892,3,52,292.5
165893,2,131,388.7
165895,2,56,221.6
165901,12,32,84.1
165902,4,125,447.8
165903,0,1,7
165907,6,13,110
165910,5,56,157.4
165915,0,2,59.2
165918,2,188,410.3
165923,3,81,310
165929,4,26,177.5
165930,1,106,555.8
165933,1,194,474.1
165937,21,32,112.9
165938,21,17,90.2
165941,8,4,7
165958,5,51,276.6
165959,3,81,290.3
165964,7,17,50.8
165969,1,109,337.8
165973,1,32,140.8
165976,7,22,64.6
165978,22,5,45.5
165979,3,86,307.7
165982,6,93,226.9
165983,3,113,274.7
165986,7,3,10.3
165988,2,50,166.3
165989,5,32,147.7
165990,10,5,13.4
165992,0,1,3
165993,13,2,22
166002,2,99,218.3
166003,4,12,62.5
166008,3,49,206.2
166011,3,110,401.8
166014,6,44,132
166015,4,48,229.6
166024,2,108,405.7
166028,2,55,195.3
166031,4,63,193.8
166034,5,60,203.9
166186,0,1,8
166187,0,40,129.4
166188,0,13,48.15
166189,0,14,72.5
166190,2,11,30.8
166191,0,12,63.7
166192,1,8,17.4
166193,0,4,5.3
166194,1,14,29.6
166195,0,5,18.8
166196,0,3,15
166235,0,1,50
166236,3,123,351.4
166238,2,17,49.9
166244,3,101,301.4
166246,6,12,81.7
166252,2,119,400.9
166260,0,1,50
166274,0,1,5
166276,7,16,57.4
166309,10,4,21.6
166315,7,16,46.8
166332,5,60,500.4
166348,3,84,367.3
166352,3,86,505.5
166353,0,1,6
166369,9,5,31.5
166593,0,2,12
166601,10,51,278.4
166911,1,58,151.4
167054,4,37,191.4
167065,0,1,32.4
167069,0,1,40
167070,4,35,168.8
167073,0,3,9.5
167080,6,23,55.9
167097,0,1,6
167104,7,16,97.9
167106,8,48,248.2
167114,0,2,3.1
167117,11,45,113.4
167127,19,37,98.2
167134,2,129,402.1
167140,1,8,49
167143,4,50,254.2
167144,2,147,521.5
167155,2,85,272.3
167156,3,60,293.3
167157,20,20,103.8
167158,2,53,194
167163,7,30,505
167167,1,7,44
167168,2,133,1059.6
167169,2,3,5
167172,4,28,160.4
167178,1,28,443
167179,3,52,175.9
167181,2,12,54.8
167182,3,73,118.9
167187,4,29,83.9
167190,2,141,470.9
167191,3,53,324.2
167193,1,55,398.8
167196,4,59,350.4
167206,0,24,80.5
167217,10,46,264.8
167218,3,50,304
167220,5,58,221.3
167223,3,45,119.4
167234,0,2,1.6
167240,0,8,54
167246,1,143,545.08
167250,8,33,167.4
167268,3,75,268.3
167275,8,32,349.4
167277,3,15,78
167281,4,38,200.2
167283,5,151,421.7
167285,3,17,76.7
167286,0,1,2.4
167287,3,3,9.6
167290,10,46,299.3
167291,2,139,354.7
167293,15,21,65
167298,1,149,498.4
167308,6,16,107
167309,7,40,199.5
167310,3,72,326.6
167314,4,27,96.7
167317,3,52,321.8
167319,4,25,51.3
167337,6,15,95.5
167338,4,6,42
167340,4,60,379
167344,1,15,51.7
167347,5,80,291.4
167350,6,36,172
167353,14,2,11
167358,1,68,327.2
167369,2,17,43.6
167377,1,156,608.6
167394,18,25,117.5
167398,2,52,346
167403,3,51,291
167413,0,1,1.6
167419,5,10,61.8
167422,4,52,267.6
167431,4,62,223.7
167433,0,1,2.1
167437,7,83,280
167457,5,45,208.4
167458,5,9,23.9
167462,2,2,4.5
167469,8,11,26.6
167472,4,24,137.5
167474,0,1,2
167476,3,144,420.1
167479,14,22,56.6
167483,3,75,384.9
167486,2,58,274.6
167487,15,25,171.4
167489,2,118,801.59
167493,5,104,448
167504,5,40,199.4
167505,3,65,335.9
167507,3,35,508.8
167510,4,79,297
167514,4,47,124.8
167518,4,83,208.5
167524,2,76,363
167525,5,35,124.7
167534,5,76,355.7
167536,1,9,56.5
167537,3,41,203.5
167539,2,47,432.1
167540,4,58,304.2
167541,4,53,216.1
167549,0,2,12.1
167552,3,39,211.9
167555,19,12,86
167556,0,7,30.6
167563,4,39,109.5
167572,9,36,468.3
167574,3,25,228.4
167575,3,57,249.3
167576,3,61,318.5
167582,11,54,204.6
167585,7,31,76.1
167592,7,50,181.4
167593,4,46,248.9
167595,3,108,500.2
167596,5,40,169.3
167598,3,57,348.5
167602,2,86,410.8
167608,3,53,197.3
167612,3,34,67.7
167614,4,15,98
167623,3,72,379.9
167630,6,35,233.5
167632,0,1,1
167633,3,91,315.2
167634,3,50,221.3
167635,1,6,42.9
167637,5,31,250.1
167641,0,3,3.9
167644,3,78,308.9
167647,14,39,111.2
167658,21,2,20
167662,4,41,163.7
167672,2,89,347.6
167674,4,11,39.8
167685,4,79,298.7
167686,1,44,178.5
167688,3,54,635
167697,3,55,188.7
167698,3,84,646.3
167705,5,43,145.4
167706,3,58,253.7
167708,3,75,379.7
167712,1,155,339.1
167714,2,108,330.2
167715,13,17,95.7
167718,4,57,517.9
167719,3,11,87.7
167720,7,20,95.2
167722,1,98,488.4
167729,5,46,364
167735,3,15,114.9
167742,2,98,332.8
167746,23,5,14.8
167756,3,87,543
167759,7,12,53
167760,4,40,197.8
167766,3,58,336.6
167767,5,61,203.5
167769,4,44,201
167776,15,6,22.4
167778,3,90,277.3
167785,2,63,280.18
167788,3,59,488
167790,11,6,59
167792,2,86,284.8
167793,7,27,147.1
167798,2,50,309.4
167801,0,2,0.8
167803,3,84,225.2
167816,15,12,48.1
167817,11,17,102.3
167822,3,79,722.48
167823,4,56,189.3
167829,0,16,70.7
167836,3,50,223.5
167837,2,102,251.3
167842,3,62,261.7
167845,3,40,168.2
167848,2,85,327.6
167849,11,48,172.4
167854,1,119,437.6
167857,20,21,99.2
167858,3,16,186.5
167866,6,54,268.2
167867,4,55,258.1
167878,5,16,40.5
167882,6,52,152.3
167884,4,78,253.1
167890,11,53,131.3
167893,1,6,12.3
167902,5,41,139.2
167907,9,108,394.7
167913,1,110,618.9
167918,6,6,21.5
167921,3,73,425.8
167922,8,6,41.2
167926,3,107,374.6
167927,6,15,107.1
167928,5,23,195.6
167931,13,11,97.6
167948,0,2,76
167961,8,17,90.9
167963,10,91,399.2
167966,0,3,20.5
167968,7,42,439.7
167969,0,14,65.2
167971,11,58,449.1
167974,2,49,105.6
167992,5,10,25.4
167998,2,54,237.6
168003,0,1,0.5
168005,8,52,389.9
168007,7,39,77.2
168016,2,53,93.1
168019,3,86,398.7
168026,1,2,10.9
168030,5,17,107.7
168035,4,56,202.5
168036,3,91,256.4
168040,2,28,150
168043,1,9,46.5
168044,4,37,228.7
168048,3,31,200.3
168054,19,26,156.6
168063,2,84,171.3
168064,6,3,103
168068,4,6,24.1
168073,9,29,99.1
168079,0,1,2
168080,3,85,410.4
168082,0,2,7.5
168084,4,39,352
168085,3,96,450.9
168099,7,57,202.6
168100,4,100,349.3
168106,6,27,146.6
168108,0,1,1.7
168110,0,1,32
168111,2,79,188.6
168116,2,101,229.5
168120,17,48,171.1
168128,0,36,145
168129,3,82,220.8
168137,2,48,267.6
168139,4,42,245.4
168142,1,101,586.1
168148,3,63,284.6
168150,7,110,383
168153,5,46,187.9
168154,0,8,47.5
168158,4,62,280.9
168159,3,137,359.6
168164,2,90,220.7
168168,4,29,148.7
168169,5,10,86.5
168173,2,137,427.6
168176,2,112,320.2
168180,15,29,143.4
168183,2,97,413
168189,4,54,297.1
168191,1,6,45
168198,16,18,54.8
168199,17,3,81.7
168202,6,38,175.7
168204,0,2,4
168205,4,63,372.3
168208,22,8,41.5
168211,3,62,228.3
168215,2,19,101.9
168216,4,27,192.2
168220,6,42,198.9
168226,0,4,8.6
168227,0,2,5.1
168230,3,67,341.7
168235,3,27,115.6
168239,2,91,455
168249,4,80,201.9
168254,1,85,330
168257,6,85,637.7
168258,5,26,145.7
168259,2,103,187.1
168263,3,77,287.9
168264,3,14,118.6
168266,5,23,199.7
168267,4,8,10
168269,5,18,119.6
168273,0,2,1
168279,3,54,240.3
168280,3,47,232.4
168282,4,23,160.6
168284,6,44,165.1
168288,27,2,4.2
168293,4,65,175.1
168296,9,83,8839.3
168300,4,43,204.1
168303,4,45,229.8
170001,4,50,235.5
170002,6,34,450.7
170003,3,54,223.6
170004,4,31,112.9
170006,3,46,208.5
170010,11,61,145.5
170011,3,71,207.6
170012,2,2,11.3
170014,0,12,55.5
170015,3,76,291
170016,6,56,279.3
170018,3,45,56.6
170020,1,84,452.7
170021,5,16,43.7
170022,0,19,66.9
170025,7,37,152
170026,3,81,419.4
170028,4,62,998.6
170029,4,39,194.7
170030,1,10,37
170031,16,21,100.9
170032,3,73,222.8
170034,4,36,95.5
170037,1,9,8.8
170038,3,29,41.2
170039,4,59,350.9
170041,5,33,304
170043,17,3,20
170044,1,14,58.4
170045,2,34,242.8
170046,15,45,146.8
170047,3,58,220.6
170049,3,51,253
170051,3,49,218.7
170052,7,27,52.7
170054,4,36,176.4
170055,5,64,152.3
170057,3,51,225.4
170059,5,25,52.6
170062,4,76,193
170064,4,19,140
170066,5,49,271.9
170068,2,64,227.1
170069,8,36,136.7
170070,3,43,267.3
170071,10,53,169.1
170073,3,56,240.1
170074,3,58,232.1
170075,4,54,195.1
170077,12,34,107.6
170079,0,17,58.9
170080,1,20,69.5
170081,1,14,79.3
170084,2,125,508.7
170085,4,88,336.6
170087,6,48,189.1
170091,5,57,266.2
170092,12,27,102.5
170094,11,25,190.6
170095,6,15,89.9
170097,9,111,320.8
170098,1,58,210.84
170099,8,29,62.6
170100,1,17,70.7
170103,6,25,152.2
170104,6,42,190.1
170106,3,67,210.8
170107,3,94,362.7
170110,6,46,276.5
170111,9,59,223.9
170112,10,70,151.6
170114,4,36,223.9
170115,3,53,265.4
170117,1,26,94.3
170118,15,30,182.4
170119,8,36,234.2
170120,1,4,21.5
170121,3,95,407.6
170122,7,94,268.6
170125,6,29,183.5
170127,1,27,60.7
170129,8,26,130.3
170130,0,5,26.1
170133,2,58,248.8
170134,0,2,12.5
170135,1,70,226.9
170137,10,67,269.9
170138,3,18,84.4
170142,3,51,189.3
170143,1,14,44
170145,9,55,249.8
170147,3,44,190.8
170150,19,3,58
170154,4,64,243.3
170155,2,10,47.6
170158,0,5,37.5
170160,10,19,53.8
170161,1,21,50.4
170162,2,26,75
170163,3,99,254.3
170171,8,20,47.2
170172,0,32,105.8
170174,9,61,341.8
170175,1,30,103.5
170178,2,52,171.7
170180,1,28,118.9
170181,3,18,313.7
170182,2,97,376.8
170183,1,131,398.8
170184,1,9,20.3
170186,3,33,162.7
170187,1,13,53.9
170188,6,22,97.1
170189,3,136,496.6
170190,0,20,50.1
170191,0,16,42.4
170192,10,51,209.9
170193,3,58,253.3
170194,14,18,57.9
170195,6,31,144.7
170196,2,26,83.5
170197,3,35,78.5
170198,4,45,207.3
170199,1,24,75
170200,4,64,269.2
170201,4,47,220.3
170203,0,4,116.1
170204,13,45,201
170205,19,4,51.5
170206,2,62,335.9
170207,3,66,202.1
170210,9,9,49.2
170212,3,66,307.6
170213,5,33,142.5
170214,4,31,127.8
170215,2,109,497.8
170216,3,110,525.2
170217,10,14,41.4
170218,2,84,279.8
170219,11,67,254.5
170221,4,53,118
170222,4,62,529.3
170223,0,12,35.6
170224,5,65,234.9
170226,3,72,327.7
170227,0,13,136.8
170229,10,99,199.2
170231,8,13,49.5
170233,4,48,271.1
170234,5,48,324.8
170236,3,45,249.7
170238,1,70,196.9
170241,1,16,50.2
170242,12,17,143.1
170243,4,37,102.9
170244,10,54,241.1
170250,3,64,350.1
170252,13,58,259.4
170253,3,32,140.8
170256,4,83,290.2
170257,2,78,234.9
170258,3,88,250
170259,4,107,255.4
170260,2,84,369.9
170261,2,105,251
170262,10,3,20
170263,4,32,69.1
170264,5,11,68.6
170265,13,12,31.2
170271,1,127,414.2
170272,5,86,212.5
170273,11,54,183.6
170274,3,28,107.5
170275,4,24,216.6
170276,3,50,127.2
170278,3,72,239.3
170279,3,75,164.1
170280,4,26,78.9
170281,3,76,286
170285,4,35,212.7
170286,2,62,375
170287,9,21,87.3
170288,2,125,325.7
170291,2,114,421.3
170292,3,72,344.9
170295,3,39,209.8
170296,5,21,94.1
170297,3,106,290
170298,3,79,326.7
170300,3,65,327.9
170301,8,18,75.5
170303,4,24,110.4
170304,3,64,153.2
170305,2,102,246.2
170306,3,9,32.9
170307,3,39,62.9
170308,10,69,173.3
170311,1,71,215.3
170312,2,119,370.3
170313,1,159,351.7
170314,3,73,194.4
170317,3,70,152.8
170318,2,93,297.3
170321,4,66,201.4
170324,3,90,335.3
170326,6,23,92.8
170327,10,21,87.9
170328,0,4,21
170331,4,32,150.6
170333,4,50,157
170334,3,52,185
170335,3,120,324
170336,2,54,270.2
170340,5,38,137.1
170341,4,31,75.8
170342,3,66,328.4
170343,3,90,309.3
170344,3,144,352.5
170345,4,56,268.4
170346,4,62,366.9
170347,4,62,128.9
170348,4,26,54.8
170351,3,131,268.9
170352,5,67,133.6
170356,2,56,159.8
170357,3,89,534.7
170361,1,84,475.8
170362,5,27,142.7
170366,4,106,490.5
170367,0,1,100
170371,3,79,208.2
170377,2,75,366.7
170378,13,10,32.7
170382,3,66,245.3
170383,2,88,345.2
170384,2,125,338.2
170385,1,100,349.4
170387,7,37,100
170390,1,88,259.9
170392,6,17,84.5
170394,2,70,253.6
170396,2,58,204.2
170400,3,54,190.6
170401,3,90,288.8
170402,2,131,283.5
170403,1,102,393.4
170404,3,62,150.3
170405,3,66,389.1
170407,7,18,103.4
170408,3,43,194.4
170409,3,96,265.4
170410,1,118,398.6
170411,3,60,154.5
170414,3,44,393.5
170416,4,44,240.2
170417,2,56,224.7
170418,2,51,410.5
170419,5,42,131.3
170420,1,103,580.9
170421,5,20,114.3
170423,2,85,179.3
170425,1,83,200.1
170426,3,88,233.1
170427,3,58,295.8
170428,15,38,225.7
170431,3,84,269.8
170432,5,5,44.9
170433,15,58,205.6
170434,9,57,248.6
170435,5,48,140.1
170436,5,55,253.7
170437,6,8,27.7
170438,3,78,180.6
170439,3,53,166.1
170440,2,91,387
170441,4,29,78.5
170443,3,80,352
170445,1,9,30.5
170446,1,4,7.4
170447,9,77,262.8
170448,6,46,227.6
170450,2,133,437.9
170454,0,1,2
170455,4,29,178.9
170456,8,87,298
170457,3,72,192.2
170458,3,81,301.9
170459,0,4,7
170460,9,78,259.2
170463,3,105,380.6
170464,14,9,47.7
170466,5,138,336
170472,4,63,103.1
170473,3,115,404.1
170474,2,116,384.6
170475,7,94,301.6
170476,18,19,51.3
170477,8,18,78.7
170480,4,41,166.8
170482,3,45,160.7
170483,5,30,176.8
170485,1,72,534.6
170487,0,1,1
170489,24,17,114.8
170493,1,129,366
170494,2,80,372.1
170496,2,42,180.3
170498,4,38,193
170502,23,5,20.7
170503,4,102,285.1
170505,3,6,34.5
170507,2,91,332.3
170508,6,69,241.3
170510,0,7,20.1
170511,5,49,268.8
170512,3,45,251.4
170514,4,54,346.7
170515,6,90,219.7
170517,3,75,323.6
170518,3,83,772.7
170519,3,53,252.4
170520,3,74,186.3
170523,2,57,255.8
170524,1,88,480.5
170525,3,90,205.2
170526,3,56,305.6
170527,3,67,110.5
170531,1,182,443.5
170532,6,34,175
170533,1,74,619.9
170535,1,96,388.5
170536,11,20,69.1
170537,4,50,128.9
170538,1,97,703.8
170539,5,24,97
170541,4,61,232.4
170542,1,104,422.1
170545,2,104,304.8
170546,4,80,328.5
170547,1,142,521.1
170549,2,54,284.1
170550,4,25,82.4
170554,6,127,303.3
170556,4,69,176.6
170557,3,48,272.4
170563,3,77,394
170565,5,32,165.9
170567,3,76,268.1
170568,18,22,97.6
170570,3,64,272.7
170571,1,20,119.6
170572,12,31,86.8
170573,3,77,362.3
170574,5,56,209.9
170577,4,60,259.1
170578,3,122,234.4
170579,3,61,229.8
170580,1,19,60.4
170582,3,76,555.3
170585,7,23,99.4
170590,3,65,384.7
170592,3,54,250
170594,1,137,259.3
170595,7,8,151.1
170596,2,69,200.7
170600,9,39,147.5
170601,9,70,248.1
170604,1,9,41.8
170605,2,94,366.7
170606,7,74,500.1
170609,5,80,289.9
170610,9,30,114.8
170611,4,49,157.4
170613,2,118,278.3
170614,3,57,164.9
170616,8,54,113.4
170618,2,72,372
170622,4,58,167
170624,2,90,438
170625,2,72,370.5
170627,1,120,444.24
170628,3,52,229.2
170629,4,46,125
170631,4,87,167.5
170632,3,100,197.8
170633,4,56,194.4
170634,4,31,155.2
170635,6,69,234.4
170636,2,74,452.8
170637,3,61,325.1
170639,3,53,239.3
170640,4,2,11
170642,3,46,329.7
170643,4,37,137.9
170645,4,86,811.1
170647,4,80,239.9
170649,3,124,398.8
170651,5,47,255.1
170654,6,51,292.9
170655,8,65,180.6
170657,4,67,193.4
170661,3,62,205.3
170665,3,66,163.9
170667,3,66,287.1
170668,3,100,613.7
170671,3,78,271.8
170673,5,56,494.1
170674,3,61,217.7
170675,4,140,378.9
170679,4,87,425.3
170680,3,90,337.3
170681,7,5,15.2
170688,3,32,152.5
170689,3,72,278.7
170691,9,42,152.6
170692,4,58,199.6
170693,0,1,150
170694,4,34,78.1
170696,2,118,302.4
170698,2,70,358.9
170701,2,57,334
170703,3,26,91.6
170704,4,56,234.5
170707,22,6,42.5
170709,3,75,216.7
170710,2,84,303
170711,3,50,181.3
170713,19,33,128.3
170714,0,2,3.9
170716,2,107,369.8
170718,3,76,384.2
170721,8,9,32
170722,3,49,258
170725,3,53,231.6
170726,3,92,287.2
170727,1,76,349.6
170731,3,80,372
170733,3,45,199.6
170734,3,38,156.8
170735,3,65,355.7
170736,5,35,174.9
170737,3,95,600.7
170738,7,17,43
170740,1,58,339.2
170741,4,37,160.2
170742,7,23,147.6
170743,4,83,256.1
170745,3,102,262.6
170746,5,54,121.8
170747,4,48,184.7
170748,5,43,272.7
170749,4,51,265.3
170753,2,51,369.6
170756,3,63,450.2
170757,5,61,287.3
170758,4,41,529.7
170759,1,131,446.8
170760,2,94,223.1
170762,6,33,122.8
170765,3,32,164.8
170766,3,69,641.4
170767,11,16,46.5
170768,3,38,239.5
170769,4,47,93.4
170770,3,46,281.9
170773,3,98,204.2
170774,1,139,472.7
170776,4,55,207.7
170777,3,43,440.3
170778,7,19,113.7
170779,4,67,404.9
170780,6,47,109
170782,8,45,261
170783,4,65,164.5
170784,2,63,364.6
170785,3,84,435.9
170786,10,43,285.4
170787,6,66,361.5
170788,4,94,227.6
170790,4,72,543.2
170791,22,12,61.7
170792,0,1,0.3
170796,5,9,48.5
170799,18,15,249.6
170800,2,97,234.6
170801,8,19,271.1
170802,2,32,222.2
170803,3,130,428.3
170805,7,29,82.9
170806,0,1,1.5
170807,5,68,269
170809,2,114,466.8
170810,3,75,323.2
170811,1,129,513.2
170813,2,107,465.1
170815,12,11,87.4
170816,1,121,423
170817,3,56,258.1
170818,6,34,121.2
170819,3,80,316
170822,4,45,218.6
170823,2,106,481.4
170824,4,75,276
170828,3,82,321.8
170829,4,112,315.2
170830,2,66,254.9
170834,5,37,126.7
170837,7,28,80.5
170838,2,78,247
170840,5,61,335.3
170841,4,60,233.1
170842,2,86,325.1
170844,2,67,231.7
170845,3,84,416.6
170846,2,71,260.5
170847,5,29,221.2
170849,3,101,217.7
170850,3,50,250.9
170851,3,107,273.9
170852,3,48,201.4
170853,1,145,749.6
170854,4,58,442.4
170856,2,84,512.26
170859,2,76,198.5
170862,2,85,283
170863,25,8,32
170864,8,24,314.5
170865,3,54,171.6
170867,4,32,133.9
170868,10,34,143.8
170872,4,65,184.4
170873,5,62,308.4
170874,4,45,201.1
170875,3,114,372.9
170877,3,77,593.7
170880,4,44,256.6
170882,3,143,429
170884,19,12,50
170888,2,77,476.9
170892,3,105,889.7
170895,5,35,583.7
170899,2,61,300.6
170900,3,80,367.5
170901,3,46,142.3
170902,3,92,306.8
170905,3,90,451.9
170906,9,35,210.4
170907,3,69,466
170908,2,86,251.5
170909,5,68,249.8
170911,3,69,433.5
170912,9,20,99.3
170913,3,91,441.8
170914,5,70,262.8
170915,4,67,257.6
170918,5,69,122.9
170919,3,91,291.2
170921,3,66,530.9
170923,9,27,210.9
170924,5,43,194
170926,3,75,238
170927,3,85,410.2
170928,7,26,100.1
170929,5,16,80.1
170930,1,120,285
170932,2,77,400
170933,6,40,125.2
170936,2,130,400.4
170937,3,53,331.8
170938,2,133,722.6
170939,18,30,153.7
170941,3,24,95.1
170942,7,27,226.7
170944,5,21,268.3
170945,5,92,324.4
170947,4,31,178.2
170948,3,81,318.7
170949,25,6,31.7
170950,11,40,202.7
170952,9,33,186.2
170953,17,19,95.8
170954,2,72,281.4
170955,5,66,278.06
170957,4,31,60.7
170959,3,54,793.9
171002,5,37,206.1
171003,0,1,8.5
171007,4,42,259.3
171013,1,32,50.3
171015,4,110,316.2
171016,3,56,381.1
171018,4,67,243.7
171019,3,74,376.3
171022,4,96,7393.7
171023,3,39,144.8
171026,4,11,40.7
171029,2,81,273.84
171035,15,46,116.8
171036,3,44,286
171037,3,84,191.3
171045,5,59,396.3
171068,2,83,580.9
171094,7,62,257.7
171095,4,42,127
171096,2,88,211.8
171098,6,30,102.8
171099,4,102,299.9
171103,3,77,378.3
171104,3,69,166.5
171105,6,50,98.9
171106,2,32,199.3
171109,5,50,242.1
171115,3,119,347.1
171116,3,80,131.5
171117,2,34,173.5
171120,3,78,167.8
171125,2,21,93.2
171127,4,35,455.8
171129,4,38,235.7
171131,12,6,17.3
171133,2,102,442.1
171134,18,21,100.9
171136,12,41,231.2
171137,3,68,236
171138,2,86,310.9
171140,12,13,47.1
171145,7,18,102.4
171146,2,88,166.6
171147,3,102,216.3
171149,3,41,151.5
171151,3,75,240.4
171152,21,6,8
171154,1,133,484.28
171155,6,56,303.1
171156,3,87,387.3
171158,4,90,345.5
171159,4,4,7.9
171160,7,78,161.8
171164,3,82,271.7
171167,2,125,349
171172,3,146,432.3
171174,8,33,112.4
171177,5,26,150
171179,7,34,110.3
171180,3,78,270.9
171183,3,91,660.1
171184,10,34,150.6
171185,2,82,375.1
171186,3,74,642.7
171187,3,84,334
171189,0,31,78.3
171191,1,90,469
171193,2,151,10382.9
171194,2,86,692.3
171203,5,52,124.1
171204,1,106,793
171207,2,116,511.5
171208,2,54,1413.9
171209,5,72,525.9
171210,1,161,847.8
171212,0,2,400
171214,2,84,261.5
171216,3,57,180.2
171218,4,88,320.6
171221,3,122,322.8
171223,4,90,390.6
171230,1,116,516.7
171235,1,139,650.8
171236,2,81,352.4
171241,1,159,472.48
171242,13,18,49.8
171261,0,9,21.4
171270,10,65,220.4
171272,4,115,254
171274,3,116,570.5
171275,3,60,168.7
171276,2,81,377.2
171277,1,182,478.66
171279,2,155,381.2
171281,1,295,1061.8
171283,3,95,422.6
171284,18,40,196.1
171285,2,106,493.9
171286,3,114,406.5
171287,3,53,134.6
171290,0,1,0.6
171292,3,87,349.6
171294,3,182,481.4
171296,2,93,397.2
171302,2,179,438.7
171304,2,149,484.5
171306,2,84,297.7
171307,2,181,487.1
171310,3,81,195.1
171311,2,86,338.8
171314,4,70,257.5
171315,2,160,374.4
171316,1,180,768.69
171319,2,174,495.9
171323,1,137,617.4
171326,4,102,261.4
171327,1,213,511.09
171328,3,100,206.8
171329,1,154,536.2
171331,3,91,455.9
171332,2,93,445.12
171333,3,127,229.7
171335,4,139,386.8
171339,4,29,159.4
171341,2,213,586.3
171342,2,114,320.2
171345,3,104,277.4
171346,4,63,255
171347,1,239,810.1
171348,3,42,115.1
171351,3,175,426.5
171352,1,223,403.8
171353,3,152,392.07
171354,4,181,455.6
171355,3,179,650.9
171356,3,61,229
171358,2,81,386.5
171359,3,86,386.2
171360,2,87,404.1
171361,9,17,60.5
171362,3,57,328.7
171364,3,51,143.5
171365,2,78,272.3
171368,3,85,341.7
171373,1,145,423.3
171379,2,129,604.3
171380,8,38,195.8
171383,0,2,19
171386,4,2,9
171390,21,11,65.1
171396,9,47,111.7
171398,0,2,15
171402,1,56,161.5
171418,7,16,79.2
171431,3,78,356.8
171432,3,82,289.7
171437,2,117,353.2
171440,4,63,182.2
171442,5,53,160.4
171444,3,100,221.3
171445,2,27,200
171448,3,136,814.7
171449,2,66,206
171450,4,45,297
171457,4,72,210.6
171458,8,43,213.5
171459,4,98,349.9
171460,1,182,433.75
171461,2,128,454.9
171462,4,41,194.7
171463,3,114,326.7
171466,4,127,564
171471,1,143,489.3
171472,5,91,349.9
171477,6,166,459.9
171478,2,108,611.26
171479,2,65,195.3
171480,2,41,125.6
171484,3,100,290.9
171485,3,90,373.4
171489,3,92,361
171491,4,127,335.4
171492,6,37,136.5
171495,3,126,244.4
171496,2,54,244.7
171497,3,82,375.6
171498,3,59,213.3
171502,3,47,310.8
171507,2,148,395.3
171508,3,97,652.6
171509,4,33,133.1
171510,3,64,397.3
171511,4,64,353.8
171513,3,126,461.4
171514,0,2,4
171515,1,151,422.4
171516,1,191,581.1
171517,20,20,102.7
171519,3,38,202.9
171520,3,45,247.5
171524,2,140,669
171528,11,49,168.4
171529,5,24,59.7
171530,5,34,405.8
171531,1,83,420
171532,2,113,320.6
171534,6,32,104.3
171537,2,16,49.8
171544,2,12,71.8
171546,0,1,0.5
171547,3,33,199
171552,21,17,51.7
171557,16,29,102.8
171564,6,19,193
171567,2,70,239.6
171573,1,134,352.6
171585,2,85,394
171591,4,46,397.9
171594,9,40,266.2
171595,0,1,0.5
171596,3,48,241.4
171599,3,157,347.7
171600,3,75,221.4
171601,2,138,322.5
171605,4,109,367.2
171607,4,108,336
171608,3,66,219.7
171609,2,129,386.5
171610,2,146,400.1
171613,14,37,85.5
171614,2,148,622
171615,1,121,386.2
171620,7,33,69.1
171623,5,73,288
171635,6,47,182.9
171637,3,182,419.2
171638,2,145,461.9
171641,4,94,300
171642,2,118,251.3
171647,2,128,431.8
171650,12,33,119.1
171651,2,62,150.6
171659,2,86,405.6
171663,4,44,226.4
171664,3,64,174.6
171665,1,162,513.49
171667,5,33,144
171668,5,27,124.8
171669,7,30,135.4
171670,3,39,105.5
171671,5,40,175.5
171674,5,17,65.4
171675,2,82,234.4
171679,1,136,509.6
171680,1,107,754.5
171682,5,72,234.7
171683,5,50,142.5
171684,2,124,292.2
171685,3,55,322.4
171688,4,58,262.4
171691,2,67,271
171692,2,141,456.1
171693,15,11,49.5
171699,0,1,5
171703,0,4,10.1
171704,1,5,21
171712,0,12,47.9
171713,1,3,9
171717,0,2,6
171720,26,8,19.7
171724,5,11,56.6
171727,0,9,28.5
171731,8,21,84.5
171732,26,7,27.5
171735,0,1,50
171736,24,10,51.1
171742,4,106,389.6
171747,11,121,390.5
171748,4,26,183.1
171752,4,84,523.3
171753,7,27,136.4
171756,4,37,67.9
171757,4,171,443.7
171759,1,109,295.2
171768,5,9,25.5
171772,28,3,20.5
171777,4,69,183.6
171780,4,66,265.9
171782,0,1,0.6
171783,2,86,547.2
171792,4,59,349
171796,5,71,378.1
171797,2,23,75.1
171798,1,81,534.1
171800,2,108,521.5
171802,3,43,161.1
171803,6,54,129.5
171805,0,14,57.8
171808,3,123,273.69
171809,3,83,253.6
171811,6,25,94.6
171812,2,27,78
171813,5,64,174.5
171814,2,110,330
171816,2,109,350.9
171817,3,89,511.9
171818,3,63,182.5
171819,3,79,420.1
171820,4,78,163.2
171821,2,144,347.5
171822,1,194,407.4
171824,4,88,319.4
171825,2,67,298.9
171826,4,29,73.9
171827,5,51,318.4
171828,2,152,376.1
171830,2,149,473.9
171831,2,56,203.7
171832,1,209,500.7
171833,11,39,148.5
171837,10,26,98.6
171838,2,99,253.5
171839,3,132,355.1
171840,6,64,393.5
171841,3,97,349.6
171842,6,10,42.1
171843,3,63,161
171844,2,108,694.4
171845,7,40,120.9
171847,3,62,237.5
171848,1,105,543.9
171849,3,14,60.4
171851,5,76,290.5
171852,2,63,369.4
171853,3,50,122.4
171862,3,68,244.7
171864,4,67,293.2
171865,16,15,122.5
